,Region,Condition,Rooms,Rent,Year_Construction,Space
283,Köpenick,first_time_use_after_refurbishment,2.0,720.0,1892,49.36
284,Wilmersdorf,refurbished,2.0,2180.0,1959,77.54
285,Mitte,first_time_use,5.0,4325.69,2015,198.75
286,Mitte,no_information,4.0,2492.05,1996,126.5
287,Mitte,no_information,5.0,2322.02,1996,124.84
288,Mitte,mint_condition,3.0,1650.0,2016,69.0
289,Tiergarten,no_information,4.0,2567.0,1982,131.19
290,Mitte,first_time_use,2.0,2277.91,2005,95.31
291,Wedding,first_time_use,1.0,845.0,2017,27.7
292,Wedding,mint_condition,1.0,771.0,2017,20.5
293,Tiergarten,no_information,4.0,1571.44,1900,104.39
294,Wedding,first_time_use,1.0,680.0,2017,20.5
295,Wedding,mint_condition,1.0,803.0,2017,24.1
296,Wedding,mint_condition,1.0,793.0,2017,20.5
297,Wilmersdorf,no_information,3.0,1557.28,1912,80.84
298,Charlottenburg,first_time_use_after_refurbishment,4.0,2320.0,1900,160.0
299,Wilmersdorf,no_information,3.0,1301.13,1900,71.97
300,Wedding,mint_condition,1.0,730.0,2017,20.5
301,Neukölln,no_information,2.0,1010.31,1910,73.21
302,Wilmersdorf,well_kept,3.0,1930.38,1991,117.04
303,Charlottenburg,well_kept,2.0,705.92,1965,45.21
304,Kreuzberg,mint_condition,2.0,1181.3,2019,60.55
305,Mitte,no_information,3.0,2043.49,1879,83.78
306,Mitte,mint_condition,3.0,3568.5,2014,170.45
307,Prenzlauer,no_information,2.0,2115.0,1906,79.56
308,Tiergarten,no_information,2.0,1530.0,2018,64.0
309,Prenzlauer,no_information,4.0,2734.0,1906,99.39
310,Tiergarten,mint_condition,2.0,1500.0,2018,43.5
311,Charlottenburg,mint_condition,2.0,1490.0,1917,49.0
312,Kreuzberg,mint_condition,2.0,1040.51,2019,53.03
313,Tiergarten,no_information,2.0,547.9,1900,63.0
314,Prenzlauer,mint_condition,4.0,3360.0,2019,164.0
315,Kreuzberg,mint_condition,2.0,1181.3,2019,60.55
316,Wedding,mint_condition,3.0,1500.0,2020,78.0
317,Wilmersdorf,first_time_use,4.0,2752.0,1900,129.53
318,Neukölln,well_kept,2.0,599.74,1973,51.0
319,Köpenick,first_time_use_after_refurbishment,3.0,1558.8,1870,94.0
320,Köpenick,first_time_use_after_refurbishment,2.0,1590.35,1870,99.0
321,Köpenick,first_time_use_after_refurbishment,4.0,2159.2,1870,128.0
322,Wilmersdorf,well_kept,2.0,580.16,1900,51.0
323,Kreuzberg,mint_condition,2.5,2950.0,1920,161.0
324,Wedding,well_kept,3.5,960.38,1918,102.0
325,Köpenick,first_time_use_after_refurbishment,2.0,1494.64,1870,90.0
326,Kreuzberg,mint_condition,3.0,1817.0,2019,97.62
327,Charlottenburg,fully_renovated,4.0,2105.0,1905,119.0
328,Mitte,first_time_use,4.0,5774.83,2015,242.64
329,Charlottenburg,no_information,2.0,755.3,1959,61.95
330,Charlottenburg,mint_condition,3.0,1650.0,1920,77.0
331,Tiergarten,first_time_use,3.0,1570.0,1919,95.5
332,Mitte,mint_condition,4.0,2405.0,2015,106.0
333,Mitte,first_time_use,2.0,1493.0,2020,66.0
334,Mitte,refurbished,2.0,1685.0,1995,73.78
335,Neukölln,first_time_use,1.0,759.0,2019,22.0
336,Prenzlauer,mint_condition,2.0,1300.0,2018,60.0
337,Neukölln,fully_renovated,1.0,877.71,1900,37.0
338,Mitte,mint_condition,3.0,1845.0,2020,85.48
339,Mitte,first_time_use,3.0,2060.0,2019,85.5
340,Köpenick,modernized,3.0,1440.0,1900,95.0
341,Kreuzberg,first_time_use,3.0,2485.0,2019,97.3
342,Mitte,modernized,2.0,1200.0,1993,54.0
343,Neukölln,fully_renovated,2.0,780.0,1962,61.5
344,Tiergarten,first_time_use,3.0,3380.0,2018,120.0
345,Charlottenburg,first_time_use_after_refurbishment,3.0,2498.0,1913,124.0
346,Wilmersdorf,first_time_use,1.0,1040.0,2019,26.9
347,Neukölln,mint_condition,2.0,1055.43,2017,61.0
348,Kreuzberg,mint_condition,3.0,1720.0,2017,74.37
349,Wilmersdorf,mint_condition,2.0,1980.0,2015,84.0
350,Tiergarten,first_time_use,3.0,2375.0,2019,100.0
351,Tiergarten,mint_condition,1.0,967.4,2019,48.8
352,Mitte,first_time_use,3.0,1785.0,2019,66.55
353,Prenzlauer,mint_condition,3.0,2435.0,2015,122.98
354,Charlottenburg,first_time_use,2.0,1350.0,2020,52.97
355,Mitte,mint_condition,5.0,2310.0,2014,142.0
356,Tiergarten,first_time_use,2.0,1290.0,2019,44.0
357,Wilmersdorf,fully_renovated,2.0,1359.0,1903,77.0
358,Wilmersdorf,first_time_use,3.0,1700.0,2017,82.07
359,Tiergarten,fully_renovated,2.0,1136.72,2012,83.03
360,Tiergarten,well_kept,2.0,1500.0,2018,57.7
361,Köpenick,fully_renovated,2.0,1250.0,1998,61.0
362,Mitte,first_time_use,4.0,2380.0,2020,108.5
