,Region,Condition,Rooms,Rent,Year_Construction,Space
625,Tiergarten,first_time_use,3.0,1841.68,2019,86.06
626,Tiergarten,first_time_use,4.0,2130.96,2019,92.05
627,Tiergarten,first_time_use,4.0,2525.97,2019,107.26
628,Tiergarten,first_time_use,2.0,1627.11,2019,76.57
629,Wilmersdorf,first_time_use,2.0,1410.0,1966,47.0
630,Tiergarten,first_time_use,3.0,1774.43,2019,81.96
631,Tiergarten,first_time_use,3.0,1768.29,2019,84.81
632,Tiergarten,first_time_use,3.0,2280.0,2018,73.0
633,Mitte,mint_condition,4.0,4678.3,2015,212.3
634,Tiergarten,first_time_use,3.0,1788.57,2019,81.67
635,Tiergarten,first_time_use,5.0,2851.96,2019,121.36
636,Charlottenburg,well_kept,5.0,3160.0,1988,169.53
637,Mitte,refurbished,2.0,1488.25,1915,59.53
638,Tiergarten,first_time_use,3.0,1869.56,2019,84.98
639,Tiergarten,first_time_use_after_refurbishment,3.0,2200.0,1885,84.0
640,Mitte,no_information,3.0,1814.85,2016,98.7
641,Charlottenburg,well_kept,2.0,3250.0,1911,173.79
642,Köpenick,first_time_use,3.0,1720.0,2018,116.35
643,Tiergarten,no_information,3.0,2175.0,1990,101.02
644,Mitte,first_time_use,2.0,1449.24,2019,54.05
645,Mitte,refurbished,2.0,1756.36,2018,50.18
646,Mitte,first_time_use,3.0,5322.5,2019,123.0
647,Neukölln,first_time_use,3.0,1958.69,1917,112.31
648,Mitte,refurbished,2.0,2288.06,2018,65.37
649,Tiergarten,first_time_use,3.0,2436.48,2019,101.52
650,Mitte,refurbished,2.0,2356.2,2018,67.32
651,Kreuzberg,mint_condition,3.0,2525.0,1910,170.0
652,Tiergarten,first_time_use,3.0,2283.98,2019,101.51
653,Mitte,first_time_use,2.0,6022.5,2019,123.0
654,Tiergarten,first_time_use,3.0,1788.14,2019,81.65
655,Mitte,refurbished,2.0,2488.26,2018,71.09
656,Charlottenburg,first_time_use,1.0,929.0,2019,28.45
657,Mitte,no_information,2.0,1897.95,1997,111.34
658,Tiergarten,first_time_use,3.0,2107.43,2019,98.02
659,Mitte,first_time_use,4.0,2982.41,1900,129.67
660,Tiergarten,first_time_use,4.0,2130.96,2019,92.05
661,Prenzlauer,mint_condition,3.0,1755.0,2008,101.46
662,Tiergarten,first_time_use,3.0,1839.78,2019,81.95
663,Mitte,first_time_use,2.0,3230.0,2019,68.0
664,Tiergarten,first_time_use,3.0,1846.87,2019,81.72
665,Neukölln,first_time_use,1.0,525.0,2019,22.0
666,Tiergarten,first_time_use,4.0,2158.01,2019,92.42
667,Tiergarten,first_time_use,3.0,1774.43,2019,81.96
668,Tiergarten,first_time_use,4.0,2119.62,2019,92.56
669,Tiergarten,first_time_use,4.0,2525.97,2019,107.26
670,Tiergarten,first_time_use,3.0,1959.27,2019,93.97
671,Tiergarten,first_time_use,4.0,2642.69,2019,122.29
672,Tiergarten,first_time_use,3.0,2622.9,2019,121.15
673,Wedding,modernized,3.0,1383.23,1918,128.81
674,Prenzlauer,refurbished,4.0,2069.26,1914,82.77
675,Wilmersdorf,well_kept,7.0,5876.35,1912,300.0
676,Tiergarten,first_time_use,3.0,1833.98,2019,85.7
677,Tiergarten,first_time_use,3.0,2440.56,2019,101.69
678,Tiergarten,no_information,3.0,2286.0,1990,110.75
679,Tiergarten,first_time_use,5.0,2851.96,2019,121.36
680,Mitte,fully_renovated,1.0,1200.0,2014,55.0
681,Mitte,first_time_use,3.0,2105.0,2018,90.02
682,Mitte,first_time_use,3.0,1931.26,2018,80.78
683,Wilmersdorf,first_time_use,2.5,1716.0,1936,90.4
684,Tiergarten,first_time_use,3.0,1774.15,2019,81.57
685,Tiergarten,no_information,3.0,2630.0,1998,142.35
686,Charlottenburg,first_time_use_after_refurbishment,2.0,1349.0,1970,51.0
687,Charlottenburg,no_information,4.0,2500.0,1896,173.14
688,Tiergarten,first_time_use,3.0,2508.24,2019,119.44
689,Tiergarten,first_time_use,4.0,2065.06,2019,97.87
690,Charlottenburg,refurbished,3.0,1567.39,1994,88.19
691,Prenzlauer,no_information,2.0,1367.0,1911,66.33
692,Charlottenburg,first_time_use_after_refurbishment,1.5,1099.0,1970,43.0
693,Mitte,no_information,3.0,1561.65,2016,86.91
694,Mitte,mint_condition,5.0,14207.0,2015,413.91
695,Tiergarten,first_time_use,3.0,1757.11,2019,84.68
696,Charlottenburg,refurbished,2.0,1063.0,1978,69.5
697,Kreuzberg,first_time_use_after_refurbishment,2.0,1399.0,1874,50.0
698,Tiergarten,first_time_use,3.0,2497.38,2019,111.49
699,Köpenick,first_time_use,3.0,1697.0,2018,115.35
700,Mitte,first_time_use,3.0,2260.46,2019,101.43
701,Tiergarten,first_time_use,4.0,2264.83,2019,104.13
702,Tiergarten,first_time_use,4.0,2747.36,2019,122.65
703,Mitte,mint_condition,3.0,1990.0,2014,80.0
704,Prenzlauer,no_information,1.0,1395.0,1906,52.0
705,Tiergarten,first_time_use,3.0,2198.75,2019,108.58
706,Tiergarten,fully_renovated,3.0,2555.0,1998,125.46
707,Tiergarten,first_time_use,3.0,2198.97,2019,108.86
708,Tiergarten,first_time_use,3.0,1768.29,2019,84.81
709,Prenzlauer,refurbished,1.0,869.0,1903,30.0
710,Prenzlauer,no_information,2.0,1294.0,1906,42.52
711,Prenzlauer,first_time_use,2.0,1100.0,2017,30.0
712,Prenzlauer,no_information,2.0,1321.0,1906,49.9
713,Mitte,first_time_use,2.0,1314.15,2018,40.32
714,Wilmersdorf,first_time_use,3.0,2390.0,2019,100.46
715,Mitte,first_time_use,1.0,899.0,2018,30.98
716,Kreuzberg,no_information,2.0,1236.5,1900,46.02
717,Mitte,first_time_use,4.0,3706.83,2018,141.26
718,Köpenick,mint_condition,3.0,1550.0,2015,100.0
719,Tiergarten,refurbished,1.0,660.0,1904,25.0
720,Kreuzberg,no_information,1.0,914.0,1900,33.7
721,Mitte,first_time_use,4.0,2555.59,2018,91.72
722,Prenzlauer,no_information,4.0,2740.0,1906,99.65
723,Wilmersdorf,mint_condition,3.0,1793.0,1905,110.0
724,Kreuzberg,no_information,2.0,1266.0,1900,47.13
725,Kreuzberg,no_information,2.0,1282.5,1900,44.4
726,Mitte,first_time_use,2.0,1454.74,2018,54.97
727,Tiergarten,first_time_use,3.0,2439.6,2018,103.6
728,Kreuzberg,mint_condition,2.0,1970.0,2019,85.6
729,Mitte,mint_condition,3.0,2811.38,2015,124.95
730,Mitte,mint_condition,1.0,655.0,2017,23.16
731,Tiergarten,mint_condition,2.0,1524.0,2018,45.0
732,Prenzlauer,well_kept,2.0,1489.0,1901,73.41
733,Mitte,mint_condition,3.0,2300.0,2014,99.47
734,Wilmersdorf,mint_condition,3.0,2129.0,2019,96.6
735,Mitte,well_kept,2.0,1350.0,2014,68.0
736,Mitte,well_kept,3.0,3500.0,2009,165.0
737,Kreuzberg,no_information,1.0,843.0,1900,32.2
738,Prenzlauer,no_information,2.0,1357.46,2016,59.8
739,Friedrichsfelde,mint_condition,3.0,1007.0,2017,79.87
740,Wedding,mint_condition,1.0,610.0,2018,21.0
741,Mitte,mint_condition,4.0,3925.0,2016,138.0
742,Prenzlauer,mint_condition,1.0,1283.71,2016,54.59
743,Wedding,mint_condition,1.0,622.0,2015,19.22
744,Prenzlauer,fully_renovated,2.0,1366.0,1996,46.0
745,Wedding,mint_condition,1.0,780.0,2018,26.0
746,Wedding,mint_condition,1.0,741.0,2017,20.5
747,Wedding,mint_condition,1.0,771.0,2017,20.5
748,Mitte,mint_condition,4.0,4040.0,2015,176.5
749,Tiergarten,no_information,3.0,1728.0,1895,94.65
750,Wedding,no_information,2.0,1079.0,1969,50.79
751,Mitte,no_information,1.5,770.0,1997,35.0
752,Tiergarten,first_time_use,3.0,2180.0,2018,85.0
753,Wedding,mint_condition,1.0,720.0,2017,20.5
754,Mitte,no_information,3.0,2155.5,1879,86.42
755,Prenzlauer,modernized,1.0,577.0,1908,48.47
756,Wedding,mint_condition,1.0,772.0,2017,20.5
757,Tiergarten,well_kept,4.0,1970.0,1900,127.0
758,Neukölln,modernized,2.0,693.0,1905,57.0
759,Wedding,mint_condition,1.0,959.0,2017,27.8
760,Wedding,mint_condition,1.0,649.0,2017,20.5
761,Wilmersdorf,mint_condition,4.0,2750.0,2017,110.0
762,Köpenick,well_kept,2.0,1259.0,2017,91.2
763,Neukölln,fully_renovated,2.0,888.0,1990,68.48
